Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature_Difference,Machine_Power,Wear_Rate,Heat_Index,Mechanical_Stress,Temperature_Ratio,RPM_per_Torque,Power_per_Wear,Torque_per_Temp,Wear_Temp_Product,Machine_failure
300.6,309.6,1726,30.0,147,0,0,0,0,0,0,1,0,9.0,51780.0,0.08511870295309786,93065.76000000001,4410.0,1.029940119760479,55.67741935483871,349.86486486486484,0.09689922480620154,1323.0,0
301.7,311.2,1589,37.9,75,0,0,0,0,0,0,1,0,9.5,60223.1,0.04716981132075472,93889.04,2842.5,1.0314882333443818,40.84832904884319,792.4092105263157,0.1217866323907455,712.5,0
296.8,307.5,1347,54.8,43,0,0,0,0,0,0,1,0,10.699999999999989,73815.59999999999,0.031899109792284865,91266.0,2356.4,1.0360512129380053,24.13978494623656,1677.6272727272726,0.17821138211382112,460.0999999999995,0
300.7,311.8,1486,47.3,19,0,0,0,0,0,0,1,0,11.100000000000023,70287.8,0.012777404169468728,93758.26,898.6999999999999,1.0369138676421683,30.766045548654247,3514.3900000000003,0.15169980756895443,210.90000000000043,0
299.6,311.0,1430,38.3,124,0,0,0,0,0,0,1,0,11.399999999999977,54768.99999999999,0.08665269042627533,93175.6,4749.2,1.0380507343124166,36.386768447837156,438.15199999999993,0.12315112540192925,1413.5999999999972,0
297.1,308.3,1403,54.1,179,0,0,0,0,0,0,1,0,11.199999999999989,75902.3,0.1274928774928775,91595.93000000001,9683.9,1.0376977448670481,25.462794918330307,421.67944444444447,0.17547843010055142,2004.799999999998,0
300.7,310.6,1520,45.9,146,0,0,0,0,0,0,1,0,9.900000000000034,69768.0,0.09598948060486522,93397.42,6701.4,1.0329231792484204,32.40938166311301,474.61224489795916,0.14777849323889244,1445.400000000005,0
298.9,308.2,1372,63.6,30,0,0,1,0,0,0,0,1,9.300000000000011,87259.2,0.021849963583394028,92120.98,1908.0,1.0311140849782536,21.23839009287926,2814.812903225806,0.2063595068137573,279.00000000000034,1
298.7,309.8,1354,53.3,212,0,0,0,1,0,0,1,0,11.100000000000023,72168.2,0.15645756457564575,92537.26,11299.599999999999,1.037161031134918,24.935543278084715,338.81784037558685,0.17204648160103292,2353.200000000005,1
299.7,309.1,1347,55.3,139,0,0,0,0,0,0,1,0,9.400000000000034,74489.09999999999,0.10311572700296735,92637.27,7686.7,1.0313646980313649,23.925399644760216,532.0649999999999,0.1789065027499191,1306.6000000000047,0
300.7,309.5,1508,39.9,59,0,0,0,0,0,0,1,0,8.800000000000011,60169.2,0.0390987408880053,93066.65,2354.1,1.029265048220818,36.87041564792176,1002.8199999999999,0.12891760904684976,519.2000000000007,0
303.0,312.8,1648,32.1,104,0,0,0,0,0,0,0,1,9.800000000000011,52900.8,0.06306852637962401,94778.40000000001,3338.4,1.0323432343234324,49.78851963746224,503.81714285714287,0.10262148337595908,1019.2000000000012,0
300.4,311.7,1832,24.2,179,0,0,0,0,0,0,0,1,11.300000000000011,44334.4,0.09765411893071467,93634.68,4331.8,1.0376165113182423,72.6984126984127,246.30222222222224,0.07763875521334616,2022.700000000002,0
302.0,311.1,1406,48.8,159,0,0,0,0,0,0,0,1,9.100000000000023,68612.8,0.11300639658848614,93952.20000000001,7759.2,1.030132450331126,28.232931726907633,428.83000000000004,0.15686274509803919,1446.9000000000037,0
298.3,308.1,1326,58.4,90,0,0,0,0,0,0,1,0,9.800000000000011,77438.4,0.06782215523737754,91906.23000000001,5256.0,1.0328528327187396,22.323232323232325,850.9714285714285,0.18954884777669587,882.000000000001,0
298.9,310.3,1456,44.1,118,0,0,0,0,0,0,1,0,11.400000000000034,64209.6,0.08098833218943034,92748.67,5203.8,1.0381398461023754,32.28381374722838,539.5764705882353,0.14212052852078633,1345.200000000004,0
298.0,308.5,1702,26.7,203,0,0,0,0,0,0,1,0,10.5,45443.4,0.11920140927774515,91933.0,5420.099999999999,1.0352348993288591,61.44404332129964,222.76176470588237,0.08654781199351702,2131.5,0
302.6,311.4,1738,25.8,128,0,0,0,0,0,0,1,0,8.799999999999955,44840.4,0.07360552041403105,94229.64,3302.4,1.0290812954395239,64.85074626865672,347.6,0.08285163776493257,1126.3999999999942,0
297.1,308.2,1347,50.8,49,0,0,0,0,0,0,1,0,11.099999999999966,68427.59999999999,0.03635014836795252,91566.22,2489.2,1.0373611578593065,26.003861003861005,1368.552,0.16482803374432187,543.8999999999983,0
303.8,312.7,1664,29.3,178,0,0,0,0,0,0,1,0,8.899999999999977,48755.200000000004,0.1069069069069069,94998.26,5215.400000000001,1.0292955892034232,54.917491749174914,272.37541899441345,0.09370003197953311,1584.199999999996,0
298.6,309.8,1637,34.6,207,0,0,0,0,0,0,1,0,11.199999999999989,56640.200000000004,0.12637362637362637,92506.28000000001,7162.200000000001,1.0375083724045546,45.98314606741573,272.30865384615385,0.11168495803744351,2318.399999999998,0
301.6,311.1,1907,21.5,102,0,0,0,0,0,0,1,0,9.5,41000.5,0.05345911949685535,93827.76000000001,2193.0,1.031498673740053,84.75555555555556,398.06310679611653,0.06910961105753777,969.0,0
302.3,311.2,1505,36.7,78,0,0,0,0,0,0,0,1,8.899999999999977,55233.50000000001,0.05179282868525897,94075.76,2862.6000000000004,1.0294409526959973,39.92042440318302,699.1582278481013,0.11793059125964012,694.1999999999982,0
298.2,309.0,1410,47.6,76,0,0,0,0,0,0,0,1,10.800000000000011,67116.0,0.05386250885896527,92143.8,3617.6,1.0362173038229376,29.012345679012345,871.6363636363636,0.1540453074433657,820.8000000000009,0
296.8,307.9,1709,28.4,118,0,0,0,0,0,0,1,0,11.099999999999966,48535.6,0.06900584795321638,91384.72,3351.2,1.037398921832884,58.12925170068028,407.86218487394956,0.09223773952582007,1309.799999999996,0
297.2,308.3,1776,28.0,43,0,0,0,0,0,0,0,1,11.100000000000023,49728.0,0.024198086662915026,91626.76,1204.0,1.0373485868102288,61.241379310344826,1130.1818181818182,0.090820629257217,477.300000000001,0
300.2,310.2,1600,31.5,23,0,0,0,0,0,0,1,0,10.0,50400.0,0.014366021236727046,93122.04,724.5,1.033311125916056,49.23076923076923,2100.0,0.10154738878143134,230.0,0
301.0,310.7,1391,45.0,123,0,0,0,0,0,0,1,0,9.699999999999989,62595.0,0.08836206896551724,93520.7,5535.0,1.0322259136212624,30.23913043478261,504.7983870967742,0.14483424525265529,1193.0999999999985,0
298.7,309.3,1402,45.3,190,0,0,0,0,0,1,0,0,10.600000000000023,63510.6,0.13542409123307197,92387.91,8607.0,1.0354871108135253,30.28077753779698,332.51623036649215,0.14645974781765275,2014.0000000000043,0
298.1,307.9,1496,40.0,0,0,0,0,0,0,0,0,1,9.799999999999955,59840.0,0.0,91784.99,0.0,1.0328748742032874,36.48780487804878,59840.0,0.12991230919129587,0.0,0
301.5,310.3,1415,41.6,28,0,0,0,0,0,0,1,0,8.800000000000011,58864.0,0.01977401129943503,93555.45,1164.8,1.0291873963515754,33.21596244131455,2029.7931034482758,0.13406380921688688,246.40000000000032,0
301.1,311.1,1711,29.1,170,0,0,0,0,0,0,1,0,10.0,49790.100000000006,0.09929906542056074,93672.21000000002,4947.0,1.0332115576220524,56.84385382059801,291.1701754385965,0.09353905496624879,1700.0,0
296.8,307.8,1664,32.8,142,0,0,0,0,0,0,0,1,11.0,54579.2,0.08528528528528528,91355.04000000001,4657.599999999999,1.0370619946091644,49.23076923076923,381.67272727272723,0.1065627030539311,1562.0,0
298.2,308.4,1477,49.9,72,0,0,0,0,0,0,1,0,10.199999999999989,73702.3,0.04871447902571042,91964.87999999999,3592.7999999999997,1.0342052313883299,29.01768172888016,1009.6205479452055,0.1618028534370947,734.3999999999992,0
297.4,309.0,1520,37.0,147,0,0,0,0,0,0,0,1,11.600000000000023,56240.0,0.09664694280078895,91896.59999999999,5439.0,1.0390047074646942,40.0,380.0,0.11974110032362459,1705.2000000000035,0
298.9,308.9,1487,39.5,30,0,0,0,0,0,0,0,1,10.0,58736.5,0.020161290322580645,92330.20999999999,1185.0,1.033456005352961,36.71604938271605,1894.725806451613,0.12787309808999678,300.0,0
299.3,309.1,1551,39.1,147,0,0,0,0,0,0,1,0,9.800000000000011,60644.100000000006,0.09471649484536082,92513.63,5747.7,1.032743067156699,38.6783042394015,409.7574324324325,0.12649627952119055,1440.6000000000017,0
298.3,308.2,1663,28.4,67,0,0,0,0,0,0,1,0,9.899999999999977,47229.2,0.04026442307692308,91936.06,1902.8,1.0331880657056653,56.564625850340136,694.5470588235294,0.09214795587280986,663.2999999999985,0
301.0,311.0,1423,38.6,199,0,0,0,0,0,0,0,1,10.0,54927.8,0.13974719101123595,93611.0,7681.400000000001,1.0332225913621262,35.93434343434343,274.639,0.12411575562700965,1990.0,0
301.5,311.1,1434,49.6,129,0,0,0,0,0,0,1,0,9.600000000000023,71126.40000000001,0.08989547038327526,93796.65000000001,6398.400000000001,1.0318407960199005,28.3399209486166,547.1261538461539,0.15943426550948248,1238.4000000000028,0
300.5,311.6,1476,39.1,199,0,0,0,0,0,0,0,1,11.100000000000023,57711.6,0.13473256601218686,93635.8,7780.900000000001,1.0369384359401,36.80798004987531,288.558,0.12548138639281128,2208.9000000000046,0
300.6,310.0,1425,49.5,174,0,0,0,0,0,0,1,0,9.399999999999977,70537.5,0.12201963534361851,93186.0,8613.0,1.0312707917498336,28.217821782178216,403.07142857142856,0.1596774193548387,1635.599999999996,0
301.3,310.8,1455,41.2,56,0,0,0,0,0,0,0,1,9.5,59946.00000000001,0.038461538461538464,93644.04000000001,2307.2000000000003,1.0315300365084634,34.47867298578199,1051.6842105263158,0.13256113256113256,532.0,0
297.2,308.4,1863,26.0,110,0,0,0,0,0,0,0,1,11.199999999999989,48438.0,0.059012875536480686,91656.48,2860.0,1.0376850605652759,69.0,436.3783783783784,0.08430609597924774,1231.9999999999986,0
298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1,0,10.0,67621.2,0.03608923884514436,92269.44,2442.0,1.033467202141901,33.54625550660793,1207.5214285714285,0.1437823834196891,550.0,0
300.4,310.0,1769,26.1,38,0,0,0,0,0,0,1,0,9.600000000000023,46170.9,0.021468926553672316,93124.0,991.8000000000001,1.0319573901464714,65.27675276752767,1183.8692307692309,0.08419354838709678,364.80000000000086,0
301.6,311.1,1408,44.4,106,0,0,0,0,0,0,1,0,9.5,62515.2,0.07523066004258339,93827.76000000001,4706.4,1.031498673740053,31.013215859030836,584.2542056074766,0.14271938283510124,1007.0,0
298.7,309.6,1424,50.4,32,0,0,0,0,0,0,0,1,10.900000000000034,71769.59999999999,0.02245614035087719,92477.52,1612.8,1.036491463006361,27.704280155642024,2174.8363636363633,0.1627906976744186,348.8000000000011,0
301.5,310.7,1435,38.5,224,0,0,0,0,0,0,1,0,9.199999999999989,55247.5,0.15598885793871867,93676.05,8624.0,1.030514096185738,36.32911392405063,245.54444444444445,0.12391374316060509,2060.7999999999975,0
298.0,308.1,1552,36.6,190,0,0,0,0,0,0,0,1,10.100000000000023,56803.200000000004,0.12234385061171925,91813.8,6954.0,1.0338926174496645,41.27659574468085,297.3989528795812,0.11879259980525803,1919.0000000000043,0
302.2,311.6,1592,37.7,79,0,0,0,0,0,0,0,1,9.400000000000034,60018.4,0.04959196484620213,94165.52,2978.3,1.0311052283256124,41.13695090439276,750.23,0.12098844672657252,742.6000000000026,0
300.6,310.4,1494,47.3,118,0,0,0,0,0,0,1,0,9.799999999999955,70666.2,0.07892976588628763,93306.24,5581.4,1.032601463739188,30.931677018633543,593.8336134453781,0.15238402061855671,1156.3999999999946,0
297.5,309.4,1433,48.3,139,0,0,0,0,0,0,0,1,11.899999999999977,69213.9,0.09693165969316597,92046.5,6713.7,1.0399999999999998,29.06693711967546,494.38499999999993,0.15610859728506787,1654.0999999999967,0
297.3,308.7,1491,40.2,112,0,0,0,0,0,0,1,0,11.399999999999977,59938.200000000004,0.07506702412868632,91776.51,4502.400000000001,1.0383451059535822,36.189320388349515,530.4265486725664,0.13022351797862003,1276.7999999999975,0
300.1,311.5,2218,17.0,123,0,0,0,0,0,0,1,0,11.399999999999977,37706.0,0.055430374042361424,93481.15000000001,2091.0,1.0379873375541486,123.22222222222223,304.0806451612903,0.05457463884430177,1402.199999999997,0
302.0,310.9,1679,29.0,222,0,0,0,0,0,1,0,0,8.899999999999977,48691.0,0.13214285714285715,93891.79999999999,6438.0,1.0294701986754966,55.96666666666667,218.34529147982062,0.09327758121582504,1975.799999999995,0
299.2,308.4,1393,48.4,35,0,0,0,0,0,0,1,0,9.199999999999989,67421.2,0.025107604017216643,92273.27999999998,1694.0,1.0307486631016043,28.19838056680162,1872.8111111111111,0.1569390402075227,321.9999999999996,0
302.1,310.7,1364,47.8,213,0,1,0,0,0,0,0,1,8.599999999999966,65199.2,0.15604395604395604,93862.47,10181.4,1.0284673949023502,27.95081967213115,304.6691588785047,0.15384615384615385,1831.7999999999927,1
300.0,309.2,1635,32.4,4,0,0,0,0,0,0,0,1,9.199999999999989,52974.0,0.0024449877750611247,92760.0,129.6,1.0306666666666666,48.952095808383234,10594.8,0.10478654592496765,36.799999999999955,0
301.4,310.8,1431,44.3,21,0,0,0,0,0,0,1,0,9.400000000000034,63393.299999999996,0.014664804469273743,93675.12,930.3,1.031187790311878,31.589403973509935,2881.513636363636,0.14253539253539252,197.40000000000072,0
300.8,310.3,1537,33.3,52,0,0,0,0,0,0,1,0,9.5,51182.1,0.033810143042912875,93338.24,1731.6,1.0315824468085106,44.81049562682216,965.6999999999999,0.1073155011279407,494.0,0
299.7,309.2,1572,32.8,142,0,0,0,0,0,1,0,0,9.5,51561.6,0.09027336300063572,92667.23999999999,4657.599999999999,1.0316983650316984,46.50887573964497,360.5706293706294,0.10608020698576973,1349.0,0
296.8,307.9,1843,25.2,116,0,0,0,0,0,0,0,1,11.099999999999966,46443.6,0.06290672451193059,91384.72,2923.2,1.037398921832884,70.34351145038168,396.95384615384614,0.08184475479051641,1287.599999999996,0
298.0,307.7,1547,36.8,186,0,0,0,0,0,1,0,0,9.699999999999989,56929.6,0.12015503875968993,91694.59999999999,6844.799999999999,1.0325503355704697,40.92592592592593,304.43636363636364,0.11959701007474813,1804.199999999998,0
301.0,310.9,1679,29.8,64,0,0,0,0,0,0,1,0,9.899999999999977,50034.200000000004,0.0380952380952381,93580.9,1907.2,1.0328903654485049,54.51298701298701,769.7569230769232,0.09585075587005469,633.5999999999985,0
295.7,306.1,1343,54.4,119,0,0,0,0,0,0,1,0,10.400000000000034,73059.2,0.08854166666666667,90513.77,6473.599999999999,1.0351707811971593,24.24187725631769,608.8266666666666,0.17771969944462593,1237.600000000004,0
299.3,310.7,1374,48.9,222,0,0,0,0,0,0,0,1,11.399999999999977,67188.59999999999,0.16145454545454546,92992.51,10855.8,1.0380888740394252,27.535070140280563,301.29417040358743,0.15738654650788542,2530.7999999999947,0
300.8,309.7,1373,45.4,179,0,0,0,0,0,0,1,0,8.899999999999977,62334.2,0.13027656477438138,93157.76,8126.599999999999,1.0295877659574468,29.59051724137931,346.3011111111111,0.146593477558928,1593.0999999999958,0
298.6,309.7,1627,33.4,99,0,0,0,0,0,0,1,0,11.099999999999966,54341.799999999996,0.060810810810810814,92476.42,3306.6,1.037173476222371,47.29651162790698,543.418,0.10784630287374879,1098.8999999999967,0
300.4,311.5,1492,44.6,149,0,0,0,0,0,0,1,0,11.100000000000023,66543.2,0.09979906229068988,93574.59999999999,6645.400000000001,1.0369507323568576,32.719298245614034,443.6213333333333,0.1431781701444623,1653.9000000000033,0
300.4,310.5,2424,14.5,12,0,0,0,0,0,0,1,0,10.100000000000023,35148.0,0.004948453608247422,93274.2,174.0,1.0336218375499335,156.38709677419354,2703.6923076923076,0.04669887278582931,121.20000000000027,0
301.3,310.5,1365,47.7,70,0,0,0,0,0,0,1,0,9.199999999999989,65110.50000000001,0.05124450951683748,93553.65000000001,3339.0,1.0305343511450382,28.028747433264886,917.049295774648,0.1536231884057971,643.9999999999992,0
300.0,309.6,1694,28.7,94,0,0,0,0,0,0,1,0,9.600000000000023,48617.799999999996,0.05545722713864307,92880.0,2697.7999999999997,1.032,57.03703703703704,511.76631578947365,0.0927002583979328,902.4000000000021,0
301.4,310.3,2203,16.6,169,0,0,0,0,0,0,1,0,8.900000000000034,36569.8,0.07667876588021778,93524.42,2805.4,1.0295288652952888,125.17045454545453,215.1164705882353,0.053496616177892364,1504.1000000000058,0
302.4,310.9,1469,39.6,86,0,0,0,0,0,0,1,0,8.5,58172.4,0.058503401360544216,94016.15999999999,3405.6,1.0281084656084656,36.18226600985221,668.648275862069,0.12737214538436797,731.0,0
297.3,308.6,1584,29.4,141,0,0,0,0,0,0,0,1,11.300000000000011,46569.6,0.08895899053627761,91746.78000000001,4145.4,1.0380087453750422,52.10526315789474,327.9549295774648,0.09526895657809462,1593.3000000000015,0
304.2,313.6,1424,43.7,151,0,0,0,0,0,0,0,1,9.400000000000034,62228.8,0.10596491228070175,95397.12000000001,6598.700000000001,1.0309007232084155,31.856823266219237,409.40000000000003,0.13934948979591838,1419.400000000005,0
298.9,310.0,1719,27.3,58,0,0,0,0,0,0,1,0,11.100000000000023,46928.700000000004,0.03372093023255814,92659.0,1583.4,1.0371361659417866,60.74204946996466,795.4016949152543,0.08806451612903227,643.8000000000013,0
297.4,309.2,1620,33.2,28,0,0,0,0,0,0,1,0,11.800000000000011,53784.00000000001,0.01727328809376928,91956.07999999999,929.6000000000001,1.039677202420982,47.368421052631575,1854.6206896551726,0.10737386804657181,330.4000000000003,0
302.1,311.2,1454,46.8,0,0,0,0,0,0,0,1,0,9.099999999999966,68047.2,0.0,94013.52,0.0,1.030122476001324,30.418410041841007,68047.2,0.15038560411311053,0.0,0
301.9,310.9,1486,40.3,6,0,0,0,0,0,0,1,0,9.0,59885.799999999996,0.004034969737726967,93860.70999999999,241.79999999999998,1.0298111957601854,35.98062953995158,8555.114285714286,0.12962367320681892,54.0,0
297.2,308.5,1550,41.5,125,0,0,0,0,0,0,1,0,11.300000000000011,64325.0,0.08059316569954868,91686.2,5187.5,1.038021534320323,36.470588235294116,510.515873015873,0.13452188006482982,1412.5000000000014,0
298.0,308.9,1339,51.4,68,0,0,0,0,0,0,0,1,10.899999999999977,68824.59999999999,0.050746268656716415,92052.2,3495.2,1.0365771812080535,25.553435114503817,997.4579710144926,0.16639689219812237,741.1999999999985,0
300.2,311.6,1999,21.0,19,0,0,0,0,0,0,1,0,11.400000000000034,41979.0,0.0095,93542.32,399.0,1.037974683544304,90.86363636363636,2098.95,0.06739409499358151,216.60000000000065,0
296.9,308.0,1546,31.1,11,0,0,0,0,0,0,1,0,11.100000000000023,48080.600000000006,0.007110536522301228,91445.2,342.1,1.0373863253620748,48.161993769470406,4006.716666666667,0.10097402597402598,122.10000000000025,0
303.5,312.8,1404,55.8,84,0,0,0,0,0,1,0,0,9.300000000000011,78343.2,0.0597864768683274,94934.8,4687.2,1.0306425041186162,24.71830985915493,921.6847058823529,0.17838874680306904,781.200000000001,0
297.2,308.5,1494,39.6,181,0,0,0,0,0,0,1,0,11.300000000000011,59162.4,0.12107023411371237,91686.2,7167.6,1.038021534320323,36.79802955665024,325.0681318681319,0.12836304700162074,2045.300000000002,0
302.1,311.5,1987,20.1,21,0,0,0,0,0,0,1,0,9.399999999999977,39938.700000000004,0.01056338028169014,94104.15000000001,422.1,1.0311155246607082,94.17061611374407,1815.3954545454546,0.06452648475120386,197.39999999999952,0
300.6,310.8,1378,51.2,119,0,0,0,0,0,0,1,0,10.199999999999989,70553.6,0.08629441624365482,93426.48000000001,6092.8,1.033932135728543,26.39846743295019,587.9466666666667,0.16473616473616473,1213.7999999999986,0
302.6,312.4,1398,41.6,40,0,0,0,0,0,0,1,0,9.799999999999955,58156.8,0.028591851322373123,94532.24,1664.0,1.0323859881031063,32.816901408450704,1418.458536585366,0.13316261203585147,391.9999999999982,0
298.7,309.7,1697,29.8,74,0,0,0,0,0,1,0,0,11.0,50570.6,0.043580683156654886,92507.39,2205.2000000000003,1.0368262470706395,55.0974025974026,674.2746666666667,0.09622215046819503,814.0,0
296.7,308.0,1451,50.7,197,0,0,0,0,0,0,1,0,11.300000000000011,73565.7,0.1356749311294766,91383.59999999999,9987.900000000001,1.0380856083586114,28.06576402321083,371.54393939393935,0.16461038961038962,2226.100000000002,0
300.5,311.9,1370,44.8,20,0,0,0,0,0,0,0,1,11.399999999999977,61375.99999999999,0.014587892049598834,93725.95,896.0,1.0379367720465889,29.912663755458517,2922.6666666666665,0.14363578069894198,227.99999999999955,0
301.3,311.1,1560,35.3,55,0,0,0,0,0,0,1,0,9.800000000000011,55067.99999999999,0.035233824471492634,93734.43000000001,1941.4999999999998,1.0325257218718886,42.97520661157025,983.3571428571428,0.11346833815493408,539.0000000000007,0
300.9,311.0,1567,34.3,130,0,0,0,0,0,0,0,1,10.100000000000023,53748.1,0.08290816326530612,93579.9,4459.0,1.0335659687603855,44.390934844192635,410.2908396946565,0.11028938906752411,1313.000000000003,0
303.7,312.7,1395,53.9,123,0,0,0,0,0,0,1,0,9.0,75190.5,0.08810888252148998,94966.98999999999,6629.7,1.0296345077378992,25.40983606557377,606.375,0.17236968340262232,1107.0,0
301.0,310.9,1495,37.3,21,0,0,0,0,0,1,0,0,9.899999999999977,55763.49999999999,0.014037433155080214,93580.9,783.3,1.0328903654485049,39.03394255874674,2534.704545454545,0.11997426825345771,207.89999999999952,0
